category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievanceswithgoodrating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airport,Bengaluru,"Baggage / Lost &amp; Found ",41,0,0,14,14,0,NA,40,1,0,0,0,0,1,0,0,0,41,40,1,0,1
Airport,Vijayawada,"Cleanliness / Hygiene",3,0,0,3,3,0,NA,3,0,0,0,0,0,0,0,0,0,3,2,1,0,1
Airport,Vijayawada,"Retail Shops / Food & Beverage",3,0,0,3,3,0,NA,2,1,1,0,0,0,0,0,0,0,3,1,2,1,1
Airport,Chennai,"Baggage / Lost & Found ",78,0,0,78,78,0,NA,71,7,4,1,0,1,1,1,0,1,78,68,10,8,2
Airport,Surat,"Cleanliness / Hygiene",13,0,0,9,9,0,NA,11,2,1,0,0,0,1,0,0,0,13,11,2,1,1
Airport,Surat,Other,46,0,0,46,46,0,NA,41,5,5,0,0,0,0,0,0,0,46,36,10,5,5
Airport,Lilabari,"Cleanliness / Hygiene",3,0,0,3,3,0,NA,0,3,0,0,1,2,0,0,0,0,3,0,3,0,3
Airport,Bhopal,"Baggage / Lost & Found ",12,0,0,12,12,0,NA,11,1,0,0,0,0,1,0,0,0,12,8,4,0,4
Airport,Tiruchirappalli,"Retail Shops / Food & Beverage",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Airport,Goa,"Cleanliness / Hygiene",36,0,0,34,34,0,NA,33,3,2,1,0,0,0,0,0,0,36,31,5,4,1
Airport,Mangalore,"Retail Shops / Food & Beverage",4,0,0,4,4,0,NA,3,1,1,0,0,0,0,0,0,0,4,2,2,1,1
Security,Mumbai,"Security Check",96,0,0,92,92,0,NA,88,8,5,0,0,1,2,1,0,0,96,88,8,6,2
Security,Chennai,"Security Check",112,0,0,112,112,0,NA,106,6,3,0,2,0,1,0,0,2,112,105,7,5,2
Security,Delhi,"Security Check",173,2,0,166,166,0,NA,162,9,5,2,1,0,1,1,0,2,173,163,10,8,2
Security,Patna,"Security Check",21,0,0,21,21,0,NA,19,2,2,0,0,0,0,0,0,0,21,19,2,1,1
Security,Ahmedabad,"Security Check",46,0,0,45,45,0,NA,44,2,2,0,0,0,0,0,0,1,46,42,4,3,1
Security,Nagpur,Other,1,0,0,1,1,0,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
Airline,NA,"Flight Delays",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Airline,Aeroflot,"Staff / Crew Behavior",4,0,0,4,4,0,NA,3,1,0,0,1,0,0,0,0,0,4,3,1,1,0
Airline,"United Airlines","Flight Delays",4,0,0,4,4,0,NA,4,0,0,0,0,0,0,0,0,2,4,2,2,2,0
Airline,"United Airlines","Ticketing, Fares & Refunds",26,0,0,26,26,0,NA,23,3,3,0,0,0,0,0,0,3,26,23,3,3,0
Airline,"China Southern","Ticketing, Fares & Refunds",3,0,0,3,3,0,NA,2,1,0,1,0,0,0,0,0,1,3,2,1,1,0
Airline,"Air Asia Berhad (Intl Tickets)",Other,25,0,0,25,25,0,NA,23,2,2,0,0,0,0,0,0,2,25,23,2,2,0
Airline,"Ethiopian Airlines",Other,7,0,0,5,5,0,NA,7,0,0,0,0,0,0,0,0,1,7,6,1,1,0
Airline,"Ethiopian Airlines","Ticketing, Fares & Refunds",9,0,0,9,9,0,NA,9,0,0,0,0,0,0,0,0,1,9,8,1,1,0
Airline,"Tiger Airways","Flight Delays",4,0,0,4,4,0,NA,4,0,0,0,0,0,0,0,0,1,4,3,1,1,0
Airline,"Tiger Airways","Ticketing, Fares & Refunds",17,0,0,17,17,0,NA,17,0,0,0,0,0,0,0,0,1,17,16,1,1,0
Airline,"Air China","Staff / Crew Behavior",1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Airline,Lufthansa,"Flight Delays",32,0,0,16,16,0,NA,30,2,1,1,0,0,0,0,0,0,32,30,2,2,0
Airline,"Etihad Airways","Check-in & Boarding",31,0,0,29,29,0,NA,30,1,0,0,0,0,1,0,0,1,31,29,2,2,0
Airline,"Etihad Airways",Meal,6,0,0,4,4,0,NA,5,1,1,0,0,0,0,0,0,0,6,5,1,1,0
Airline,"Etihad Airways","Ticketing, Fares &amp; Refunds",113,0,3,73,73,0,NA,107,3,3,0,0,0,0,0,0,0,113,110,3,3,0
Airline,"Thai Air Asia","Ticketing, Fares & Refunds",14,0,0,14,14,0,NA,13,1,1,0,0,0,0,0,0,0,14,13,1,1,0
Airline,"Fly Dubai","Ticketing, Fares &amp; Refunds",23,0,0,16,16,0,NA,21,2,1,1,0,0,0,0,0,0,23,21,2,2,0
Airline,"Cathay Pacific","Ticketing, Fares &amp; Refunds",10,1,0,9,9,0,NA,8,1,0,0,1,0,0,0,0,0,10,9,1,1,0
Airline,Jetlite,Baggage,1,0,0,1,1,0,NA,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Airline,"Air Manas","Check-in & Boarding",2,0,0,2,2,0,NA,2,0,0,0,0,0,0,0,0,2,2,0,2,2,0
Airline,"Turkish Airlines","Check-in &amp; Boarding",22,0,0,16,16,0,NA,20,2,2,0,0,0,0,0,0,0,22,20,2,2,0
Airline,"Turkish Airlines",Maintenance,3,0,0,3,3,0,NA,2,1,1,0,0,0,0,0,0,0,3,2,1,1,0
Airline,Vistara,Cleanliness,6,0,0,4,4,0,NA,5,1,1,0,0,0,0,0,0,0,6,5,1,1,0
Airline,"Egypt Air",Meal,4,0,0,1,1,0,NA,4,0,0,0,0,0,0,0,0,1,4,3,1,1,0
Airline,"Egypt Air",Other,4,0,0,1,1,0,NA,3,1,1,0,0,0,0,0,0,0,4,3,1,1,0
Airline,"Oman Airlines","Flight Delays",13,0,0,5,5,0,NA,10,3,3,0,0,0,0,0,0,0,13,10,3,3,0
Airline,"KLM Airlines","Ticketing, Fares & Refunds",40,0,0,40,40,0,NA,38,2,2,0,0,0,0,0,0,1,40,38,2,2,0
